회사명,대표이사,홈페이지,본사주소,재무현황연도
주식회사 플랜잇파트너스,임동우,http://www.planit.ai,"서울특별시 강남구 테헤란로20길 20, 9층(역삼동, 삼정빌딩) ",2024
라디안 주식회사,오세현,http://radianinc.co.kr,"대전광역시 유성구 테크노4로 17, 5층 에이-513호 (관평동, 비즈센터)",2024
주식회사 비켄(beken),장나혜,http://,"서울특별시 용산구 녹사평대로 138, 3층 302호(이태원동, 제이트리빌딩)",2024
한국자원경제연구소 주식회사,송민경,http://,"서울특별시 성동구 성수일로10길 26, 9층 904호 (성수동2가, 하우스디세종타워)",2024
시우넷,정성원,http://,"인천광역시 서구 거북로 39, 2층 202호 (석남동)",2024
(주)세컨드코리아,구명석,http://2nd-korea.com,"경기도 파주시 와석순환로 507, 701 (와동동)",2024
(주)와이즈랩,고완순,http://www.wiselab.co.kr,"경기도 성남시 분당구 황새울로 234, 226호(수내동, 트라팰리스)",2024
주식회사 브리콘,이순환,http://,"경기도 성남시 분당구 탄천상로 164, 씨동 431호(구미동,시그마2오피스텔)",2024
(주)단아,서광석,http://,"강원도 삼척시 동해대로 4122-27, 다동 에프호(교동, 강부2차상가)",2024
합자회사 하나오에이정보통신,이태규,http://,강원특별자치도 홍천군 홍천읍 석화로3길 29 ,2024
주식회사 우성이엔지,박광옥,http://,강원특별자치도 강릉시 경강로 2292 (포남동) ,2024
(주)윈웨이시스템,조동식,www.winwaysystems.com,"서울특별시 영등포구 국제금융로 106, 411호 (여의도동, 행진빌딩)",2024
(주)진광엔지니어링,조영재,http://,"경기도 수원시 권선구 서부로 1731, 3층 (탑동)",2024
원우정보기술,조민균,http://,"경기도 김포시 김포한강10로133번길 127, 730, 제에스305호(구래동, 한강신도시 디원시티)",2024
대륭이엔지,홍한기,http://,"경기도 화성시 동탄공원로1길 22-5, 1층 (반송동)",2024
(주)다남정보통신,김석용,http://,"경기도 고양시 일산동구 정발산로 24, 티4-722호 (장항동, 웨스턴돔2) ",2024
주식회사 아이쉴드,신소현,http://whiteme.co.kr,"서울특별시 강남구 선릉로94길 14, 10층 (삼성동, 코아렌빌딩)",2024
(주)엘루오씨앤씨,"최경은, 임혜연",http://www.eluocnc.com,서울특별시 강남구 강남대로146길 21(논현동) ,2024
성해상사,김성해,http://,"경상북도 경주시 감포읍 동해안로 2674, A동 103-2(A)호",2024
작업공감협동조합,김애리,http://,"서울특별시 관악구 난곡로 78, 4층 (신림동)",2024
주식회사 아르게스마린,조은아,http://,"경상남도 양산시 산막공단남13길 117, 2층 (호계동)",2024
(주)엔케이아이티,나성민,http://,대전광역시 대덕구 대전로1131번길 48(오정동),2024
진영OA,이명학,http://,"충청북도 청주시 상당구 상당로70번길 14, 102호 (문화동)",2024
한서대학교 산학협력단,김현성,http://sanhak.hanseo.ac.kr,충청남도 서산시 해미면 한서1로 46(한서대학교내),2025
(주)네온테크,황성일,http://www.neontech.co.kr/,"경기도 안양시 동안구 부림로 146, 1층 (관양동, 네온테크)",2024
주식회사 서로커뮤니케이션,배성원,http://soroweb.co.kr,"서울특별시 영등포구 문래북로 8, 7층 709, 710호(문래동6가, 에이스엔에스타워) ",2024
주식회사 뮤온시스템,이철우,http://,강원도 삼척시 도계읍 늑구2길 18-33,2024
(주)룩스정보,전은희,http://,"경상북도 경산시 펜타힐즈로 74, 602호 (중산동, 힐즈스퀘어1차)",2024
(주)아이윈,이우원,http://www.aiwin.ai,"경기도 안양시 동안구 시민대로248번길 25, 1106(관양동, 안양창조산업진흥원) ",2024
(주)지에스디랩,유연미,http://gsdlab.co.kr,"서울특별시 금천구 가산디지털2로 101, A동 1208,1209,12010, 1201호 (가산동, 한라원앤원타워)",2024
주식회사 태원전력,홍경혜 외 1명 (강병원) ,http://,"강원특별자치도 춘천시 동면 구룡당길 19, 2층",2024
신우산전,최병의,http://www.sinwoois.co.kr,"경기도 군포시 고산로 695, 605호 (산본동)",2024
주식회사 와이던플러스,김태형,http://widenplus.co.kr,"대전광역시 유성구 은구비남로7번길 53, 2층(지족동)",2024
유성정보통신,김태형,http://,전북특별자치도 익산시 서동로5길 49 (마동),2024
IT월드,박정환,http://,전라남도 장성군 장성읍 청운4길 5,2024
주식회사 바른기술,박희만,http://,"광주광역시 북구 첨단과기로 313, 비동 606호 (대촌동, 광주하이테크센터)",2024
(주)이제이정보시스템,정광열,http://www.ejboard.com,"경상남도 창원시 의창구 차룡로48번길 44, 617호(팔용동,스마트업타워) ",2024
(주)빅밴드앤코,"박재영, 권희정",http://,서울특별시 마포구 토정로 36 (합정동),2024
에이케이에스정보 주식회사,안기수,http://,"서울특별시 금천구 가산디지털1로 171, 515호 (가산동)(가산동, 가산 에스케이브이원 센터)",2024
주식회사 캣솔루션,이창재,http://catsolutions.co.kr,"경기도 광명시 새빛공원로 67, A동 1510호 (일직동, 광명역자이타워)",2024
주식회사 호건,김재경,http://,"전북특별자치도 군산시 조촌안5길 35, 2층 201호 (경장동)",2024
주식회사 아이지온,강성학,http://,"서울특별시 강서구 하늘길 76, 1층 4중대 식당 건물 중앙(과해동, 일반건물보호구역) ",2024
주식회사 바른땅지적측량,안재우,http://,"전북특별자치도 전주시 완산구 효자로 161, 1동 1224호 (효자동3가)",2024
선유기술 주식회사,정종대,http://www.sunyoutech.com,"서울특별시 중구 서소문로 89, 1411호 (순화동, 순화빌딩)",2024
에스오에스미디어(주),김수영,http://,경기도 포천시 송선로151번길 82(설운동) ,2024
플렉스박스,박춘기,http://flexbox.co.kr,"서울특별시 마포구 월드컵북로 400, 2층 B-159호 (상암동, 서울산업진흥)",2024
